Event Study Results (Effect by Time Since Adoption)
============================================================
  Event Time        ATT         SE                    95% CI
------------------------------------------------------------
         135    -2.7143     0.4041 [ -3.5062,  -1.9223] *
         136    -2.7143     0.2020 [ -3.1103,  -2.3183] *
         137    -1.7143     0.2020 [ -2.1103,  -1.3183] *
         138    -0.2857     0.1010 [ -0.4837,  -0.0877] *
         139     0.8571     0.2020 [  0.4612,   1.2531] *
         140     1.1429     0.2020 [  0.7469,   1.5388] *
         141     0.2857     0.7071 [ -1.1002,   1.6716] 
         142    -1.1429     0.4041 [ -1.9348,  -0.3509] *
         143    -0.8571     0.3030 [ -1.4511,  -0.2632] *
         144    -0.5714     0.0000 [ -0.5714,  -0.5714] 
         145     0.4286     0.1010 [  0.2306,   0.6266] *
         146     0.7143     0.2020 [  0.3183,   1.1103] *
         147    -0.2857     0.2020 [ -0.6817,   0.1103] 
         148    -0.5714     0.8081 [ -2.1553,   1.0125] 
         149    -1.8571     0.5051 [ -2.8471,  -0.8672] *
         150    -1.7143     0.3030 [ -2.3082,  -1.1203] *
         151    -1.7143     0.1010 [ -1.9123,  -1.5163] *
         152     0.0000     0.1010 [ -0.1980,   0.1980] 
         153     1.1429     0.1010 [  0.9449,   1.3408] *
         154     1.5714     0.1010 [  1.3734,   1.7694] *
         155     1.5714     0.6061 [  0.3835,   2.7593] *
         156    -0.5714     0.3030 [ -1.1654,   0.0225] 
         157     2.7143     0.1010 [  2.5163,   2.9123] *
         158     0.4286     0.1010 [  0.2306,   0.6266] *
         159    -0.2857     0.0000 [ -0.2857,  -0.2857] 
         160     0.0000     0.2020 [ -0.3960,   0.3960] 
         161     0.1429     0.2020 [ -0.2531,   0.5388] 
         162    -0.1429     0.9091 [ -1.9247,   1.6390] 
         163    -1.5714     0.5051 [ -2.5614,  -0.5815] *
         164    -1.7143     0.2020 [ -2.1103,  -1.3183] *
         165    -1.8571     0.2020 [ -2.2531,  -1.4612] *
         166     0.5714     0.2020 [  0.1755,   0.9674] *
         167     2.1429     0.0000 [  2.1429,   2.1429] 
         168     4.5714     0.2020 [  4.1755,   4.9674] *
         169     4.1429     0.8081 [  2.5590,   5.7267] *
         170     2.1429     0.6061 [  0.9549,   3.3308] *
         171    -1.8571     0.2020 [ -2.2531,  -1.4612] *
         172    -0.8571     0.0000 [ -0.8571,  -0.8571] 
         173    -1.4286     0.0000 [ -1.4286,  -1.4286] 
         174     0.0000     0.0000 [  0.0000,   0.0000] 
         175    -0.0000     0.1010 [ -0.1980,   0.1980] 
         176    -0.4286     0.8081 [ -2.0125,   1.1553] 
         177    -0.8571     0.5051 [ -1.8471,   0.1328] 
         178    -2.1429     0.4041 [ -2.9348,  -1.3509] *
         179    -3.4286     0.0000 [ -3.4286,  -3.4286] 
         180     0.2857     0.0000 [  0.2857,   0.2857] 
         181     2.1429     0.1010 [  1.9449,   2.3408] *
         182     1.1429     0.1010 [  0.9449,   1.3408] *
         183    -0.2857     0.8081 [ -1.8696,   1.2982] 
         184    -0.5714     0.6061 [ -1.7593,   0.6165] 
         185    -1.0000     0.1010 [ -1.1980,  -0.8020] *
         186    -2.8571     0.1010 [ -3.0551,  -2.6592] *
         187     0.1429     0.0000 [  0.1429,   0.1429] 
         188     1.5714     0.1010 [  1.3734,   1.7694] *
         189     0.4286     0.1010 [  0.2306,   0.6266] *
         190    -1.5714     0.6061 [ -2.7593,  -0.3835] *
         191    -1.1429     0.3030 [ -1.7368,  -0.5489] *
         192     1.5714     0.2020 [  1.1755,   1.9674] *
         193    -1.5714     0.0000 [ -1.5714,  -1.5714] 
         194     0.2857     0.0000 [  0.2857,   0.2857] 
         195     1.7143     0.0000 [  1.7143,   1.7143] 
         196     0.2857     0.1010 [  0.0877,   0.4837] *
         197     0.4286     0.7071 [ -0.9573,   1.8145] 
         198     0.1429     0.5051 [ -0.8471,   1.1328] 
         199    -0.7143     0.3030 [ -1.3082,  -0.1203] *
         200    -2.2857     0.1010 [ -2.4837,  -2.0877] *
         201     0.1429     0.1010 [ -0.0551,   0.3408] 
         202     2.5714     0.2020 [  2.1755,   2.9674] *
         203     2.5714     0.2020 [  2.1755,   2.9674] *
         204     0.7143     0.7071 [ -0.6716,   2.1002] 
         205     3.1429     0.5051 [  2.1529,   4.1328] *
         206     1.1429     0.2020 [  0.7469,   1.5388] *
         207    -1.0000     0.2020 [ -1.3960,  -0.6040] *
         208    -0.1429     0.0000 [ -0.1429,  -0.1429] 
         209     0.7143     0.8081 [ -0.8696,   2.2982] 
         210     1.1429     0.1010 [  0.9449,   1.3408] *
         211     1.0000     0.8081 [ -0.5839,   2.5839] 
         212     1.1429     0.5051 [  0.1529,   2.1328] *
         213     0.7143     0.1010 [  0.5163,   0.9123] *
         214    -1.8571     0.0000 [ -1.8571,  -1.8571] 
         215     1.7143     0.0000 [  1.7143,   1.7143] 
         216     4.4286     0.1010 [  4.2306,   4.6266] *
         217     3.5714     0.1010 [  3.3734,   3.7694] *
         218     1.8571     0.9091 [  0.0753,   3.6390] *
         219     0.8571     0.8081 [ -0.7267,   2.4410] 
         220    -0.0000     1.3132 [ -2.5738,   2.5738] 
         221    -1.5714     0.1010 [ -1.7694,  -1.3734] *
         222     2.1429     0.6061 [  0.9549,   3.3308] *
         223     3.2857     0.7071 [  1.8998,   4.6716] *
         224     2.0000     0.1010 [  1.8020,   2.1980] *
         225     1.8571     0.7071 [  0.4712,   3.2430] *
         226     1.1429     0.4041 [  0.3509,   1.9348] *
         227     0.0000     0.2020 [ -0.3960,   0.3960] 
         228    -1.0000     0.1010 [ -1.1980,  -0.8020] *
         229     2.0000     0.1010 [  1.8020,   2.1980] *
         230     3.5714     0.1010 [  3.3734,   3.7694] *
         231     2.5714     0.1010 [  2.3734,   2.7694] *
         232     2.7143     0.8081 [  1.1304,   4.2982] *
         233     2.4286     0.6061 [  1.2407,   3.6165] *
         234    -0.1429     0.0000 [ -0.1429,  -0.1429] 
         235    -2.8571     0.1010 [ -3.0551,  -2.6592] *
         236     1.4286     0.3030 [  0.8346,   2.0225] *
         237     7.2857     0.1010 [  7.0877,   7.4837] *
         238     5.1429     0.2020 [  4.7469,   5.5388] *
         239     1.2857     0.4041 [  0.4938,   2.0777] *
         240     1.0000     0.3030 [  0.4060,   1.5940] *
         241     0.1429     0.1010 [ -0.0551,   0.3408] 
         242    -2.2857     0.1010 [ -2.4837,  -2.0877] *
         243     0.7143     0.1010 [  0.5163,   0.9123] *
         244     2.0000     0.0000 [  2.0000,   2.0000] 
         245     1.2857     0.0000 [  1.2857,   1.2857] 
         246     0.4286     0.8081 [ -1.1553,   2.0125] 
         247     1.4286     0.4041 [  0.6366,   2.2205] *
         248     3.8571     0.1010 [  3.6592,   4.0551] *
         249     3.2857     0.0000 [  3.2857,   3.2857] 
         250     4.4286     0.1010 [  4.2306,   4.6266] *
         251     4.8571     0.0000 [  4.8571,   4.8571] 
         252     3.8571     0.0000 [  3.8571,   3.8571] 
         253     1.1429     0.8081 [ -0.4410,   2.7267] 
         254    -0.2857     0.3030 [ -0.8797,   0.3082] 
         255    -1.8571     0.0000 [ -1.8571,  -1.8571] 
         256    -4.7143     0.1010 [ -4.9123,  -4.5163] *
         257    -2.4286     0.3030 [ -3.0225,  -1.8346] *
         258    -1.7143     0.3030 [ -2.3082,  -1.1203] *
         259    -2.7143     0.2020 [ -3.1103,  -2.3183] *
         260    -1.5714     0.7071 [ -2.9573,  -0.1855] *
         261    -2.0000     0.4041 [ -2.7919,  -1.2081] *
         262    -3.4286     0.0000 [ -3.4286,  -3.4286] 
         263    -6.7143     0.1010 [ -6.9123,  -6.5163] *
         264     0.7143     0.4041 [ -0.0777,   1.5062] 
         265     3.2857     0.7071 [  1.8998,   4.6716] *
         266     3.7143     0.2020 [  3.3183,   4.1103] *
         267     1.0000     0.1010 [  0.8020,   1.1980] *
         268    -1.8571     0.1010 [ -2.0551,  -1.6592] *
         269    -3.1429     0.1010 [ -3.3408,  -2.9449] *
         270    -8.0000     0.1010 [ -8.1980,  -7.8020] *
         271    -5.7143     0.2020 [ -6.1103,  -5.3183] *
         272    -2.0000     0.1010 [ -2.1980,  -1.8020] *
         273    -1.4000     0.0000 [ -1.4000,  -1.4000] 
         274    -3.0000     0.0000 [ -3.0000,  -3.0000] 
         275     2.5000     0.0000 [  2.5000,   2.5000] 
         276     6.7500     0.0000 [  6.7500,   6.7500] 
         277    10.7500     0.0000 [ 10.7500,  10.7500] 
         278    10.2500     0.0000 [ 10.2500,  10.2500] 
         279    11.5000     0.0000 [ 11.5000,  11.5000] 
         280     7.5000     0.0000 [  7.5000,   7.5000] 
         281     7.5000     0.0000 [  7.5000,   7.5000] 
         282     3.5000     0.0000 [  3.5000,   3.5000] 
         283     3.2500     0.0000 [  3.2500,   3.2500] 
         284     1.0000     0.0000 [  1.0000,   1.0000] 
         285     3.0000     0.0000 [  3.0000,   3.0000] 
         286    -1.0000     0.0000 [ -1.0000,  -1.0000] 
         287    -4.0000     0.0000 [ -4.0000,  -4.0000] 
